196922
10,的,83265
44,了,47571
185,我,47038
138,一,35352
77,是,33432
697,你,30646
50,不,29838
34,在,22058
148,个,20915
79,都,20624
6,有,20593
91,就,19640
18,也,17454
149,人,17354
28,要,13826
2,好,13565
103,来,12791
293,吧,12082
168,能,11558
172,和,11472
115,这,11338
257,会,11239
699,自己,10104
15226,分享,9298
696,给,8709
8,还,8649
1,很,8267
10695,中,8164
200,上,8062
133,多,8008
70,大,7700
96,可以,7483
283,想,7335
513,最,7243
184,让,7091
4265,地址,6902
212,小,6854
180,我们,6834
1161,天,6800
26564,快来,6755
254,说,6751
43,点,6699
1452,被,6676
69,这个,6672
161,去,6497
357,到,6195
89,看,6190
179,为,6081
274,做,6018
457,什么,5686
446,没,5646
111,喜欢,5520
39,种,5455
372,没有,5397
240,又,5365
71,爱,5166
288,对,5141
4059,接,5101
1265,请,5081
438,更,5068
1158,只,4961
989,用,4947
109,每,4910
63180,链,4886
2933,微,4881
63,啊,4853
792,把,4829
196,太,4618
366,大家,4565
537,再,4497
308,哦,4473
40,等,4435
229,啦,4399
621,与,4318
859,两,4313
663,快,4211
4971,通过,4210
1565,吗,4157
321,今天,4142
995,元,4127
117,地,4105
104,次,4104
601,着,4089
516,才,4079
1108,而,4059
174,一起,4048
861,里,3990
223,他,3961
261,现在,3929
4027,生活,3903
660,那,3881
524,可,3799
224,年,3796
1522,看看,3773
22,呢,3758
59,知道,3745
71558,博文,3713
10442,发表,3685
3303,所有,3663
1713,三,3655
5791,自,3647
2233,将,3584
1517,你们,3579
4211,美,3577
266,过,3528
641,后,3506
339,时候,3458
141,就是,3444
85,得,3400
12244,正在,3365
78,因为,3348
741,新,3340
29,吃,3272
122,还是,3265
1828,成,3253
57059,红包,3243
13204,参与,3237
226,时间,3208
2373,款,3174
60822,任性,3072
135,感觉,3065
278,这里,3055
145,真的,3039
15170,投票,3031
193,但,2979
13,这样,2979
1005,如果,2978
674,已经,2947
155,这么,2912
407,时,2909
9898,投,2903
1227,谁,2874
106,家,2862
977,全,2841
50451,链接,2823
882,之,2804
711,发现,2780
3067,拍,2771
5252,市场,2700
292,怎么,2694
2663,使用,2691
649,下载,2661
291,下,2659
2665,世界,2644
2522,此,2606
1550,试试,2587
16999,来自,2582
322,还有,2572
25,从,2557
838,却,2547
136,跟,2541
604,手机,2536
173,朋友,2507
3009,抢,2497
454,事,2491
183,推荐,2446
1836,买,2441
118884,录制,2395
10821,有钱,2384
860,开始,2356
1228,它,2353
550,钱,2351
8296,信,2341
89098,发起,2340
1578,需要,2331
61,觉得,2325
492,那么,2321
313,第一,2319
3245,活动,2317
7335,博,2308
431,刚,2296
18408,选项,2268
40562,浏览,2240
5157,中国,2225
270,几,2187
3225,占,2175
19422,人生,2171
25949,任,2147
840,已,2146
3355,打车,2132
15,很多,2128
38,各,2123
638,真,2064
3594,别人,2059
1332,她,2057
1581,图,2031
31733,播放,2019
2083,图片,2001
11,希望,1993
1585,时尚,1982
5260,幸福,1975
647,看到,1971
69284,承包,1946
48029,份额,1938
58293,址,1934
342,月,1932
156,东西,1931
94885,普天同庆,1929
2988,照片,1928
617,加,1922
1503,一定,1910
306,送,1904
279,像,1901
2483,当,1887
245,开心,1883
20550,获得,1874
333,支持,1867
6940,工作,1863
1479,件,1859
8715,车,1859
497,所以,1851
368,不要,1851
2113,快乐,1850
375,比,1829
585,出,1824
170,高,1823
29037,保暖,1816
140,一样,1815
1442,问题,1813
429,起来,1806
727,免费,1796
12,一直,1795
206,一下,1786
1677,只有,1783
3931,或,1777
1432,走,1759
468,以,1738
371,分钟,1737
2908,领,1725
166,张,1719
716,水,1714
2575,心,1704
343,其实,1703
11085,音乐,1691
3373,神,1684
296,但是,1683
1353,手,1674
1921,漂亮,1667
3917,该,1654
1469,别,1653
547,玩,1652
191,价格,1651
80,冷,1628
758,女人,1621
5625,版,1614
6535,明天,1613
986,拿,1570
1461,客户端,1562
1083,皮肤,1558
14058,微信,1551
1304,前,1549
1430,找,1549
1256,选择,1544
635,只是,1534
445,最后,1531
186,心情,1526
665,发,1524
147,四,1523
4895,您,1520
8229,国,1505
17700,文章,1501
3657,起,1493
2863,问,1488
1093,花,1487
875,开,1479
6142,百万,1477
1383,条,1473
209,他们,1466
6178,电影,1463
4057,首,1458
703,然后,1456
920,长,1445
3038,效果,1444
3317,设计,1444
690,多少,1430
2339,无,1414
247,本,1413
4688,向,1411
743,出来,1410
4915,双,1407
3372,篇,1406
3984,男人,1399
7375,岁,1395
1034,简单,1387
8742,日,1381
60,为什么,1381
1327,欢迎,1378
177,非常,1366
4378,网,1365
233,超,1364
1675,份,1361
1753,换,1361
4308,于,1357
9161,韩国,1356
477,为了,1355
602,打,1349
2940,产品,1348
886,公司,1346
2209,破,1340
1986,冬天,1338
890,永远,1331
405,刚刚,1329
4151,转,1318
2065,女,1312
1218,终于,1301
1747,总,1293
256,可能,1293
3448,如何,1293
10769,视频,1291
41,位,1288
20901,爱情,1274
14057,关注,1274
225,段,1272
1380,总是,1271
7,机会,1271
1583,重要,1267
839,一切,1266
1287,百,1263
9274,穿,1261
525,见,1247
2980,参加,1246
52008,代理,1238
607,体验,1238
1523,听,1233
2399,奖,1230
757,事情,1230
2043,只要,1223
7674,赶紧,1221
2840,准备,1218
2662,码,1217
843,并,1212
4358,霸王,1212
204,应该,1211
2507,笑,1207
268,二,1203
704,正,1202
1402,名,1201
449,句,1194
258,健康,1194
441,分,1187
1976,完美,1176
8305,努力,1175
37,超级,1171
460,真是,1170
584,最近,1169
733,成功,1166
765,那些,1165
142,不过,1164
2064,男,1161
11793,路,1159
1698,话,1153
2434,一些,1151
1542,孩子,1150
678,小时,1147
75,包,1143
60006,明月,1139
14048,明星,1134
7817,美丽,1130
3874,应用,1130
61123,CBD,1127
24841,店,1119
1393,连,1119
40064,肌肤,1114
182,及,1114
12396,面膜,1112
23005,拥有,1104
5392,加入,1104
93,不错,1101
126,带,1093
1692,先,1088
60365,转载,1088
4326,成为,1086
134,以后,1084
5897,想要,1081
69913,现货,1075
12446,生命,1072
8085,进行,1066
420,喝,1056
548,游戏,1051
210,特别,1051
8790,今年,1045
1193,所,1043
1609,十,1042
2309,级,1042
2374,新款,1042
1267,好好,1040
4790,记,1036
132,适合,1035
3117,五,1034
67732,代购,1032
1786,单,1030
2738,任何,1029
933,内,1027
1291,这些,1026
338,那个,1026
49,赞,1025
987,号,1024
1248,有些,1017
31953,榜,1016
505,老,1016
